# title,"Budgeting Summary (lut=0.350ns/net=0.239ns)"
"Group","Slack","Requirement","Skew","Uncertainty","Datapath Delay","Datapath Logic Delay","Datapath Net Delay","Logic Levels","Adj Levels","Net Budget","Lut Budget","Net Adj Slack","Lut Adj Slack","Path","Info"
"ap_clk","-3.666","10.000","-0.011","0.035","13.548","6.438","7.110","58","19","14 (*)","28","-1.097","3.232","FDRE(71) LUT6(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(58) LUT2(1) LUT6(26) FDRE","{bd_0_i/hls_inst/inst/k2_stats_U0/ap_enable_reg_pp0_iter2_reg/C --> bd_0_i/hls_inst/inst/k2_stats_U0/sum_abs_reg_3238_reg[11]_inv/R}"
"ap_clk","-3.666","10.000","-0.011","0.035","13.548","6.438","7.110","58","19","14 (*)","28","-1.097","3.232","FDRE(71) LUT6(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(58) LUT2(1) LUT6(26) FDRE","{bd_0_i/hls_inst/inst/k2_stats_U0/ap_enable_reg_pp0_iter2_reg/C --> bd_0_i/hls_inst/inst/k2_stats_U0/sum_abs_reg_3238_reg[12]_inv/R}"
"ap_clk","-3.666","10.000","-0.011","0.035","13.548","6.438","7.110","58","19","14 (*)","28","-1.097","3.232","FDRE(71) LUT6(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(58) LUT2(1) LUT6(26) FDSE","{bd_0_i/hls_inst/inst/k2_stats_U0/ap_enable_reg_pp0_iter2_reg/C --> bd_0_i/hls_inst/inst/k2_stats_U0/sum_abs_reg_3238_reg[32]/S}"
"ap_clk","-3.666","10.000","-0.011","0.035","13.548","6.438","7.110","58","19","14 (*)","28","-1.097","3.232","FDRE(71) LUT6(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(58) LUT2(1) LUT6(26) FDSE","{bd_0_i/hls_inst/inst/k2_stats_U0/ap_enable_reg_pp0_iter2_reg/C --> bd_0_i/hls_inst/inst/k2_stats_U0/sum_abs_reg_3238_reg[33]/S}"
"ap_clk","-3.666","10.000","-0.011","0.035","13.548","6.438","7.110","58","19","14 (*)","28","-1.097","3.232","FDRE(71) LUT6(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(58) LUT2(1) LUT6(26) FDSE","{bd_0_i/hls_inst/inst/k2_stats_U0/ap_enable_reg_pp0_iter2_reg/C --> bd_0_i/hls_inst/inst/k2_stats_U0/sum_abs_reg_3238_reg[34]/S}"
"ap_clk","-3.666","10.000","-0.011","0.035","13.548","6.438","7.110","58","19","14 (*)","28","-1.097","3.232","FDRE(71) LUT6(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(58) LUT2(1) LUT6(26) FDRE","{bd_0_i/hls_inst/inst/k2_stats_U0/ap_enable_reg_pp0_iter2_reg/C --> bd_0_i/hls_inst/inst/k2_stats_U0/sum_abs_reg_3238_reg[9]_inv/R}"
"ap_clk","-3.666","10.000","-0.011","0.035","13.548","6.438","7.110","58","19","14 (*)","28","-1.097","3.232","FDRE(71) LUT6(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(58) LUT2(1) LUT6(26) FDSE","{bd_0_i/hls_inst/inst/k2_stats_U0/ap_enable_reg_pp0_iter2_reg/C --> bd_0_i/hls_inst/inst/k2_stats_U0/tmp_48_reg_3253_reg[10]/S}"
"ap_clk","-3.666","10.000","-0.011","0.035","13.548","6.438","7.110","58","19","14 (*)","28","-1.097","3.232","FDRE(71) LUT6(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(58) LUT2(1) LUT6(26) FDSE","{bd_0_i/hls_inst/inst/k2_stats_U0/ap_enable_reg_pp0_iter2_reg/C --> bd_0_i/hls_inst/inst/k2_stats_U0/tmp_48_reg_3253_reg[11]/S}"
"ap_clk","-3.666","10.000","-0.011","0.035","13.548","6.438","7.110","58","19","14 (*)","28","-1.097","3.232","FDRE(71) LUT6(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(58) LUT2(1) LUT6(26) FDSE","{bd_0_i/hls_inst/inst/k2_stats_U0/ap_enable_reg_pp0_iter2_reg/C --> bd_0_i/hls_inst/inst/k2_stats_U0/tmp_48_reg_3253_reg[12]/S}"
"ap_clk","-3.666","10.000","-0.011","0.035","13.548","6.438","7.110","58","19","14 (*)","28","-1.097","3.232","FDRE(71) LUT6(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT3(1) CARRY8(58) LUT2(1) LUT6(26) FDSE","{bd_0_i/hls_inst/inst/k2_stats_U0/ap_enable_reg_pp0_iter2_reg/C --> bd_0_i/hls_inst/inst/k2_stats_U0/tmp_48_reg_3253_reg[13]/S}"
